city,country,date
Estepona,Spain,3/26/2027
Japan,Japan,7/1/2027
Nepal,Nepal,8/1/2027
Bhutan,Bhutan,8/11/2027
Singapore,Singapore,8/21/2027
Indonesia,Indonesia,8/31/2027
Philippines,Philippines,9/10/2027
Guam,United States,9/20/2027
Micronesia,Micronesia,9/30/2027
Hawaii,United States,10/10/2027
Houston,United States,12/24/2027
Galßpagos,Ecuador,12/28/2027
Patagonia,Argentina,1/2/2028
United Arab Emirates,United Arab Emirates,1/5/2028
Qatar,Qatar,1/13/2028
Bahrain,Bahrain,1/21/2028
Saudi Arabia,Saudi Arabia,1/29/2028
South Africa,South Africa,2/6/2028
Botswana,Botswana,2/14/2028
Rwanda,Rwanda,2/22/2028
Namibia,Namibia,3/1/2028
Istanbul,Turkey,3/9/2028
Bulgaria,Bulgaria,3/17/2028
Varna,Bulgaria,3/25/2028
Bucharest,Romania,4/2/2028
Armenia,Armenia,4/10/2028
Uzbekistan,Uzbekistan,4/18/2028
Kazakhstan,Kazakhstan,4/26/2028
Kyrgyzstan,Kyrgyzstan,5/4/2028
▄r³mqi,China,5/12/2028
